site.latitude,site.longitude,dri_grid_feedstock.price,hydrogen_feedstock.price
46.687,-94.308,56.89453535,7.306322654
41.132,-94.603,47.77765227,6.048935135
39.576,-75.832,62.4785284,9.366275257
38.181,-76.546,58.79155946,9.623913824
43.921,-89.498,58.71964476,7.142340337
41.044,-81.142,59.94867282,8.400766071
40.689,-84.735,57.02486778,7.433518345
46.452,-87.296,58.31682922,8.019475965
39.151,-84.003,58.97234189,8.56742661
42.183,-79.815,54.61601031,8.138823811
38.229,-79.09,74.59578716,10.75220945
41.2,-81.696,60.48322232,8.863916105
42.78,-72.612,63.22770852,9.526568209
41.398,-80.761,66.17442447,9.515075117
40.833,-79.277,64.71334103,9.426644773
40.979,-76.57,66.7885506,9.569792467
39.553,-88.223,55.60630495,7.02909285
42.498,-94.721,47.28725229,6.235183862
42.955,-92.758,52.48840608,6.984380936
43.395,-72.683,64.51809282,10.60738288
44.34,-88.065,51.31168453,6.54155783
40.009,-89.462,55.25405478,6.912022481
39.417,-86.099,55.95759231,7.854978823
38.024,-87.285,59.53868666,8.559414763
41.321,-76.165,56.91217926,8.245658412
41.428,-95.036,49.12946551,6.172112024
39.597,-81.475,64.64281089,9.622144928
41.496,-86.362,56.17204566,7.024954408
42.894,-90.659,53.16976553,6.681489673
42.209,-95.172,49.93455623,6.639947411
40.386,-79.688,63.86411489,9.17986164
41.225,-97.815,48.29404304,6.887453274
43.101,-88.679,53.03067508,6.615076123
46.066,-92.269,61.42938904,8.143522162
45.91,-90.383,57.83685565,7.028809928
43.227,-75.538,75.42836767,11.27986223
39.397,-91.23,52.56550712,6.798847242
46.698,-85.008,52.72711292,8.005433585
45.715,-94.651,51.03142157,6.844917182
41.506,-82.813,57.09718467,8.717754935
38.304,-95.361,49.92079696,6.722028795
41.931,-91.037,51.68681366,6.799257548
40.544,-84.178,56.15485391,7.723515068
45.835,-91.022,57.09875181,7.290884745
39.502,-74.69,56.79142229,7.973092397
43.939,-72.942,53.32671274,7.618989204
40.148,-75.65,57.84709107,8.235350996
38.306,-95.919,50.14571571,6.834479039
41.198,-92.702,53.31606401,6.841342284
39.353,-93.221,54.7802893,7.195586393
44.837,-72.907,71.3194361,10.52109026
43.11,-72.172,55.36600246,8.888975195
46.146,-91.63,58.13416581,7.454519634
39.967,-96.347,44.02907256,6.097882312
39.274,-97.619,47.07840636,6.545498265
43.562,-86.491,55.70970331,7.118851599
41.271,-75.133,53.47236237,8.024438305
43.286,-85.319,56.6952872,7.755424106
42.129,-88.793,54.14661409,6.501983191
44.621,-89.886,55.26646759,7.024110613
42.207,-90.569,52.58770358,6.642200034
46.499,-95.111,51.92864537,6.996419759
40.758,-87.057,56.8555571,7.130380178
39.281,-95.209,51.4771514,6.880614986
41.723,-95.473,46.69607968,5.867770467
40.707,-92.583,49.05015761,6.560043716
40.374,-82.319,60.10662274,8.505918307
41.971,-92.366,50.3678127,6.495398503
40.181,-84.535,56.35996593,7.778285957
42.24,-76.323,69.36892469,11.02959371
40.26,-95.917,48.50109937,6.553833735
45.441,-88.545,55.8526599,6.659344602
41.361,-72.544,53.88391198,7.614258476
43.881,-74.532,58.37302204,7.950019899
46.375,-93.045,55.3918541,7.021579046
39.137,-85.003,61.51175413,8.628449283
38.756,-81.946,71.72107525,11.3668183
42.59,-72.069,58.97538041,8.411540943
43.181,-97.27,46.43618932,6.279777875
41.458,-91.515,56.16438589,7.233361486
39.967,-95.487,48.87948543,6.733395312
41.804,-77.515,51.04981458,7.993755204
45.497,-89.795,58.81570232,7.355118333
44.925,-74.149,55.02626753,8.029748129
43.338,-89.56,58.18240607,7.195248869
43.168,-90.182,69.10016634,8.273254796
41.631,-76.967,53.70716911,8.213743211
46.413,-88.42,55.17809147,6.749316878
40.054,-97.782,45.34490702,6.438691013
43.846,-87.977,52.44338023,6.439618227
38.041,-80.831,54.10203166,9.966578887
40.263,-86.981,54.62289587,7.055294044
41.287,-77.37,61.45616063,9.527505315
42.585,-90.237,52.96659442,6.53500173
40.654,-90.846,51.16622167,6.625098277
40.577,-81.398,62.90874286,9.207572255
46.361,-84.431,60.67660851,8.526102871
44.053,-97.747,49.14434791,7.507503977
40.592,-75.951,52.92795272,7.774752517
39.147,-79.282,50.22245241,7.648694799
38.644,-76.981,60.48685661,9.107058567
42.699,-95.913,47.57093505,6.650574037
40.276,-80.446,64.19364001,9.581061709
46.002,-94.17,55.75347218,7.786657918
43.769,-95.151,47.31078488,6.411883727
42.828,-83.285,54.80541876,7.452960164
42.306,-85.339,58.19811541,7.738857599
45.817,-96.539,52.01958202,7.034215719
40.981,-72.087,47.38085805,7.581109738
